source,lang-source,author,license,sme-reviewed,premium,lang-source-dict,id
Audience en chambre du Conseil,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Audience qui se tient dans le bureau du juge ou dans une petite salle du tribunal. Le public n'est pas autorisé.,e884e0f6-9299-4ac7-9d55-05f8bbd7879b
Audience juge unique,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Audience composée du seul président (juge).,3f805faf-624b-46d1-b546-12c7f246e5b6
Audition libre,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Une personne soupçonnée d'avoir commis ou tenté de commettre une infraction peut être placée sous un régime d'audition libre plutôt que de garde à vue, à partir du moment où celle-ci accepte de demeurer dans les locaux de la police ou de la gendarmerie pendant le temps strictement nécessaire à son audition. Elle peut quitter les lieux à tout moment.",c74288b0-6cf9-4042-99b8-6f30829b281b
Auteur,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Personne du dossier contre laquelle sont exercées des poursuites pénales.,a4fc4f4c-7e92-4821-a3af-a4e389019e6e
Autorisation de la créance (en matière de saisie-rémunérations),fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Décision du juge autorisant la saisie sur salaire pour une créance donnée.,00eb617d-0e1c-4022-8d97-306f02372818
Autorité de la chose jugée,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Cas d'un jugement qui ne peut plus être remis en cause, en dehors des voies de recours prévues. Un jugement a, dès son prononcé, l'autorité de la chose jugée.",ae6d9fa2-dcfc-4656-988d-2825ea01d875
Autorité parentale,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Ensemble des droits et devoirs des parents exercés dans l'intérêt de l'enfant jusqu'à sa majorité ou son émancipation (éducation, hébergement et protection de l’enfant…).",2850e10e-30e2-484f-ac93-d753c86ae40f
Avantage matrimonial,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Clause du contrat de mariage (communauté ou participation aux acquêts) qui permet à un époux d'être plus avantagé au moment du règlement de la succession.,84a868f2-403e-4418-9725-afb2d87d55a6
Avantage non contributif (Sécurité sociale),fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Prestation dont le versement ne dépend pas de la cotisation préalable de l'assuré. Par exemple, l'allocation de solidarité aux personnes âgées (ASPA).",86c8e82d-6247-43a7-8727-1d6879fc0e1e
Avenant,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,"Document complémentaire du contrat constatant une modification, une adaptation ou un complément qui y sont apportés d'un commun accord entre les deux parties.",3773afa9-cb30-42e2-ae23-c51067b6c9b2
Avis d'audience,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Courrier du tribunal informant une personne du dossier qu'une audience aura lieu à telle date.,59ae13ae-18ba-43e3-84d6-123f5f62b4be
Avis de prorogation,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Courrier du tribunal informant une personne du dossier que la date de la décision a été reportée.,cbd96fcd-aa8d-485c-b1f4-fbb20643320c
Avis de renvoi,fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Courrier du tribunal informant les parties du dossier que l'audience est reportée à une autre date.,fd658507-a0d7-4356-ad7b-b43bd07380bf
Ayant droit (pour la Sécurité sociale),fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Personne qui tient son droit à l'assurance maladie-maternité du fait de ses liens avec un assuré.,bdf601b3-b8b0-4cec-8c0c-fe17c22524d3
Barreau (avocats),fr-fr,Ministère de la Justice (France),Licence Ouverte 2.0 (Etalab),True,False,Le barreau désigne l'ensemble des avocats installés professionnellement auprès d'un tribunal de grande instance.,91a0705e-21a0-4ee3-b031-8583385f7cf9
